id,category,name,rakuten_id
1,人気メニュー,ハンバーグ,300
2,人気メニュー,肉じゃが,302
3,人気メニュー,餃子,301
4,人気メニュー,カレー,307
5,人気メニュー,親子丼,304
6,人気メニュー,牛丼,303
7,人気メニュー,唐揚げ,309
8,人気メニュー,コロッケ,310
9,人気メニュー,煮物,311
10,定番の肉料理,豚の角煮,319
11,定番の肉料理,チキン南蛮,320
12,定番の肉料理,ロールキャベツ,323
13,定番の肉料理,もつ煮込み,326
14,定番の肉料理,牛すじ煮込み,329
15,定番の肉料理,肉団子系,327
16,定番の肉料理,チャーシュー,333
17,定番の肉料理,鶏肉料理,335
18,野菜,じゃがいも,97
19,野菜,にんじん,95
20,野菜,玉ねぎ,96
21,野菜,きゃべつ,98
22,野菜,白菜,453
23,野菜,小松菜,456
24,野菜,大根,449
25,ご飯もの,丼もの,130
26,ご飯もの,炊き込みご飯,132
27,ご飯もの,お粥・雑炊類,133
28,ご飯もの,オムライス,121
29,ご飯もの,チャーハン,131
30,ご飯もの,チキンライス,122
31,ご飯もの,ハヤシライス,123
32,ご飯もの,ハッシュドビーフ,368
33,パスタ,カルボナーラ,687
34,パスタ,ミートソース,137
35,パスタ,ナポリタン,676
36,パスタ,ペペロンチーノ,681
37,パスタ,トマト系パスタ,680
38,パスタ,クリーム系パスタ,138
39,麺・粉もの料理,うどん,152
40,麺・粉もの料理,そうめん,154
41,麺・粉もの料理,焼きそば,155
42,麺・粉もの料理,ラーメン,156
43,麺・粉もの料理,冷やし中華,383
44,麺・粉もの料理,つけ麺,384
45,麺・粉もの料理,お好み焼き,385
46,麺・粉もの料理,たこ焼き,386
47,汁物・スープ,味噌汁,159
48,汁物・スープ,豚汁,161
49,汁物・スープ,けんちん汁,387
50,汁物・スープ,お吸い物,160
51,汁物・スープ,中華スープ,164
52,汁物・スープ,和風スープ,165
53,汁物・スープ,韓国風スープ,166
54,サラダ,ポテトサラダ,415
55,サラダ,マカロニサラダ,421
56,サラダ,シーザーサラダ,187
57,サラダ,大根サラダ,417
58,サラダ,コールスロー,418
59,鍋料理,すき焼き,392
60,鍋料理,しゃぶしゃぶ,394
61,鍋料理,おでん,391
62,鍋料理,寄せ鍋,399
63,鍋料理,キムチ鍋,395
64,鍋料理,もつ鍋,393
65,鍋料理,豆乳鍋,397
66,鍋料理,ちゃんこ鍋,398
67,定番の魚料理,ぶり大根,336
68,定番の魚料理,ぶりの照焼,337
69,定番の魚料理,さばの味噌煮,338
70,定番の魚料理,煮魚,339
71,定番の魚料理,鮭のムニエル,341
72,定番の魚料理,鮭のホイル焼き,344
73,定番の魚料理,焼き魚,343
74,卵料理,ゆで卵,350
75,卵料理,温泉卵,351
76,卵料理,半熟卵,352
77,卵料理,卵焼き,353
78,卵料理,茶碗蒸し,354
79,卵料理,オムレツ,356
80,卵料理,かに玉,357
81,卵料理,スクランブルエッグ,358
82,卵料理,煮卵,359
83,節約料理,100円前後,498
84,節約料理,300円前後,499
85,節約料理,500円前後,500
86,今日の献立,朝食,501
87,今日の献立,昼食,502
88,今日の献立,夕食,503
