id,ingredient,purchase_price,quantity,unit,one_base_unit_price
1,ごはん,18.2,100,g,
2,鶏もも肉,138,100,g,
3,玉ねぎ,78,1,個,
4,卵,213,10,個,
5,酒,235,1000,ml,
6,小松菜,170,4,株,
7,みりん,302,1000,ml,
8,さとう,203,1000,g,
9,しょうゆ,257,1000,ml,
10,ケチャップ,192,500,g,
11,サラダ油,354,900,g,
12,ごま油,171,130,g,
13,カレールー,181,230,g,
14,しらたき,105,1,袋,
15,だし汁,5.26,300,ml,
16,和風だしの素,322,120,g,
17,スライスチーズ,267,12,枚,
18,チーズ,429,270,g,
19,チキンコンソメ,138,5,個,
20,ブロッコリー,213,1,株,
21,デミグラスソースのルー,213,160,g,
22,トマト,105,1,個,
23,トマト缶,95,1,缶,
24,ドライバジル,238,4,g,
25,ドライパセリ,160,3,g,
26,ベーコン,213,3,パック,
27,ホワイトソース（缶）,278,1,缶,
28,ミックスベジタブル,171,300,g,
29,めんつゆ（濃縮）,300,1000,ml,
30,めんつゆ,203,500,ml,
31,結びしらたき,105,8,個,
32,昆布茶,328,80,g,
33,菜の花,213,90,g,
34,糸こんにゃく,149,300,g,
35,食パン,160,1,斤,
36,水,0,1,ml,
37,大葉,171,20,枚,
38,天かす,246,120,g,
39,唐辛子,127,12,g,
40,豆乳,192,1000,ml,
41,白だし,268,500,ml,
42,餃子の皮,97,30,枚,
43,豚こま切れ,149,100,g,
44,じゃがいも,68,1,個,
45,にんじん,58,1,本,
46,豚肉,149,100,g,
47,オリーブオイル,300,200,g,
48,にんにく,105,2,個,
49,マヨネーズ,181,400,g,
50,えんどう,256,150,g,
51,塩,149,300,g,
52,こしょう,181,20,g,
53,おろしにんにく,127,43,g,
54,おろししょうが,127,40,g,
55,鶏がらスープの素,192,50,g,
56,牛こま切れ,322,100,g,
57,しょうが,171,80,g,
58,豚背ロース薄切り,279,100,g,
59,牛薄切り,322,100,g,
60,さやいんげん,171,60,g,
61,コンソメ,127,50,g,
62,小麦粉,268,1000,g,
63,パン粉,149,180,g,
64,豚ひき肉,149,100,g,
65,ネギ,105,1,本,
66,豚バラ,268,100,g,
67,いんげん,171,60,g,
68,コチュジャン,218,100,g,
69,すりごま,140,80,g,
70,しいたけ,214,100,g,
71,ピーマン,214,130,g,
72,片栗粉,203,150,g,
73,牛肉,322,100,g,
74,かつおぶし,214,40,g,
75,ウインナー,254,254,g,
76,プチトマト,268,250,g,
77,スナップエンドウ,256,150,g,
78,かき醤油,538,600,ml,
79,さやえんどう,171,30,g,
80,塩コショウ,205,140,g,
81,カレー粉,343,37,g,
82,グリンピース,203,250,g,
