id,ingredient,name
1,合い挽き肉,◎合びき肉
2,合い挽き肉,合い挽き肉
3,青のり,※青海苔
4,赤味噌,◆　赤味噌
5,赤味噌,・赤だし(赤味噌)
6,赤味噌,★赤味噌
7,赤味噌,赤味噌
8,赤ワイン,赤ワイン(あれば)
9,あさり,アサリ
10,アスパラ,アスパラ1本
11,厚揚げ,厚揚げ
12,厚揚げ,厚揚げ豆腐
13,油揚げ,★　油揚げ
14,油揚げ,うす揚げ
15,油揚げ,刻み油揚げ
16,油揚げ,薄揚げ
17,油揚げ,薄揚げ（半分に切りお湯↓に浸す）
18,油揚げ,油揚げ
19,いか,いか
20,いか,イカのボイル（ミニサイズ）
21,いか,烏賊　冷凍
22,いか姿フライ,イカ姿フライ5枚入
23,いりこ,いりこ
24,いりこ,いりこor出汁のもと（あれば）
25,いんげん,いんげん
26,いんげん,冷凍インゲン
27,ウインナー,ウィンナー
28,ウインナー,ウインナー
29,ウインナー,ウィンナー：無塩せきタイプ
30,ウインナー,ウインナソーセージ
31,ウインナー,ソーセージ
32,ウェイパー,＠ウェイパー
33,ウェイパー,●ウェイパー
34,ウェイパー,●ウェイパー（中華スープの素）
35,ウェイパー,★ウェイパー　又は、創味シャンタン
36,ウェイパー,ウェイパー
37,薄口しょうゆ,●薄口醤油
38,ウスターソース,●ウスターソース
39,ウスターソース,☆ウスターソース
40,ウスターソース,★ウスターソース
41,ウスターソース,②ウスターソース
42,ウスターソース,ウスターソース
43,うずらの卵,ウズラの卵
44,うどん,★　うどん(180g）
45,うどん,うどん
46,うどん,うどん（お好みで）
47,うどん,うどん（乾麺）
48,うどん,冷凍うどん　太めのもの
49,えのき茸,えのき
50,えのき茸,エノキ（椎茸など他のキノコでも可）
51,えのき茸,えのきだけ
52,えのき茸,えのき茸
53,えのき茸,えのき茸（今回は味えのき）
54,えのき茸,きのこ（えのき、しめじ等）
55,エリンギ,エリンギ
56,エリンギ,お好みのきのこ（えりんぎ）
57,えんどう,うすいえんどう（正味）
58,オイスターソース,○オイスターソース
59,オイスターソース,◎オイスターソース
60,オイスターソース,☆オイスターソース
61,オイスターソース,★オイスターソース
62,オイスターソース,〇オイスターソース
63,オイスターソース,B.オイスターソース
64,オイスターソース,オイスターソース
65,オートミール,オートミール
66,大葉,青じそ
67,おかか,■おかか
68,おからパウダー,おからパウダー
69,おくら,オクラ（冷凍の刻みオクラが便利）
70,お好み焼き粉,☆お好み焼き粉
71,お好み焼き粉,Ａ．お好み焼き粉（市販）
72,お好み焼き粉,お好み焼き粉
73,お好み焼き粉,お好み焼き粉(小麦粉)
74,オリーブオイル,☆オリーブ油
75,オリーブオイル,★オリーブオイル
76,オリーブオイル,オリーブオイル
77,オリーブオイル,ｵﾘｰﾌﾞｵｲﾙ
78,オリーブオイル,オリーブオイル(サラダ油可)
79,オリーブオイル,オリーブ油
80,おろししょうが,*生姜(すりおろし)
81,おろししょうが,●生姜擦りおろし
82,おろししょうが,★生姜チューブ
83,おろししょうが,※しょうがチューブ
84,おろししょうが,おろししょうが
85,おろししょうが,おろし生姜
86,おろししょうが,おろし生姜（チューブでもOK）
87,おろししょうが,しょうが（チューブ）
88,おろししょうが,生姜（チューブでもいい）
89,おろしにんにく,＠にんにくすりおろし（チューブ使用）
90,おろしにんにく,◆　おろしにんにく
91,おろしにんにく,●すりおろしニンニク
92,おろしにんにく,☆おろしにんにく
93,おろしにんにく,☆すりおろしニンニク
94,おろしにんにく,★ニンニク（すりおろしニンニク）
95,おろしにんにく,★にんにく(チューブ)
96,おろしにんにく,おろしにんにく
97,おろしにんにく,おろしニンニク
98,おろしにんにく,すりおろしにんにく
99,おろしにんにく,すりおろしニンニク
100,おろしにんにく,チューブニンニク
101,おろしにんにく,にんにく（すりおろし
102,おろしにんにく,にんにく（すりおろし）
103,おろしにんにく,にんにく（チューブ）
104,おろしにんにく,にんにくすりおろし
105,おろしにんにく,にんにくチューブ
106,お好みソース,◎お好み焼きソース
107,お好みソース,●お好み焼きソース
108,お好みソース,○お好み焼きソース(市販)
109,お好みソース,☆お好み焼きソース
110,お好みソース,☆お好み焼きソース(お好みで)
111,お好みソース,★おたふくソース
112,お好みソース,★お好み焼きソース
113,お好みソース,お好みきソース
114,お好みソース,お好みソース
115,お好みソース,お好みソース（オタフク）
116,お好みソース,お好み焼きソース
117,お好みソース,お好み焼きソース(お好みで)
118,お好みソース,ソース
119,お好みソース,ソースなど
120,牡蠣,牡蠣
121,牡蠣,牡蠣（むき身）
122,かき醤油,【Ａ】かき醤油
123,かつおぶし,▲かつお節
124,かつおぶし,☆かつお節(お好みで)
125,かつおぶし,☆鰹節
126,かつおぶし,★かつお節
127,かつおぶし,★鰹節
128,かつおぶし,A.花かつお
129,かつおぶし,かつおぶし
130,かつおぶし,かつお節
131,かつおぶし,鰹節
132,かつおぶし,削り鰹
133,かにかま,かにかま
134,かにかま,カニカマ
135,かにかま,かにかまぼこ
136,かぼちゃ,かぼちゃ
137,かまぼこ,かまぼこ or 竹輪
138,かまぼこ,蒲鉾
139,カレールー,カレールー
140,カレールー,カレールー・横濱舶来亭
141,カレー粉,カレーパウダー
142,カレー粉,カレー粉
143,きくらげ,きくらげ
144,きなこ,黄な粉
145,きび砂糖,きび砂糖
146,キムチ,キムチ
147,キムチ,白菜キムチ
148,キムチ,白菜キムチ（大根キムチも可）
149,キャベツ,▲キャベツ
150,キャベツ,●キャベツ
151,キャベツ,★キャベツ（せん切り）
152,キャベツ,キャベツ
153,キャベツ,きゃべつ
154,キャベツ,キャベツ（みじん切り）
155,キャベツ,キャベツ(小さめ)
156,キャベツ,キャベツ(千切り)
157,キャベツ,キャベツ（千切りにｽﾗｲｽ）
158,キャベツ,きゃべつ（粗みじん切り）
159,キャベツ,キャベツ(冷蔵庫にある野菜)
160,キャベツ,キャベツor白菜
161,キャベツ,キャベツの葉
162,牛脂,牛脂
163,牛すじ,牛すじ
164,牛ホルモン,牛ホルモン
165,きゅうり,キュウリ
166,強力粉,強力粉
167,切り餅,お餅
168,切り餅,切り餅
169,グリンピース,グリンピース
170,黒豆,黒豆
171,ケチャップ,＠ケチャップ
172,ケチャップ,◎トマトケチャップ
173,ケチャップ,☆ケチャップ
174,ケチャップ,★ケチャップ
175,ケチャップ,ケチャップ
176,ケチャップ,トマトケチャップ
177,コーン,①コーン（生・缶詰・冷凍などお好みで）
178,こしょう,●こしょう
179,こしょう,●黒コショウ
180,こしょう,☆こしょう
181,こしょう,こしょう
182,こしょう,ブラックペッパー
183,こしょう,胡椒
184,こしょう,黒こしょう
185,こしょう,粗挽き黒コショウ
186,こしょう,粗挽き黒胡椒
187,コチュジャン,＠コチュジャン
188,コチュジャン,◆　コチジャン
189,コチュジャン,◎コチュジャン
190,コチュジャン,●コチュジャン
191,コチュジャン,★コチュジャン
192,コチュジャン,コチュジャン
193,ごはん,ごはん
194,ごはん,ご飯
195,ごはん,温かいご飯
196,ごはん,残りご飯
197,ごはん,冷たいごはん
198,ごぼう,●ごぼう（ささがき）
199,ごぼう,ごぼう
200,ごぼう,ゴボウ、又はヤーコン等
201,ごぼう,ささがきゴボウ
202,ごぼう,薄切りしたごぼう
203,ごま,ゴマ
204,ごま油,◆　ごま油
205,ごま油,●ごま油
206,ごま油,☆ごま油
207,ごま油,★ごま油
208,ごま油,ごま油
209,ごま油,ゴマ油
210,ごま油,ごま油（サラダ油でも可）
211,ごま油,胡麻油
212,米粉,Ａ.米粉
213,コンソメ,??コンソメ
214,コンソメ,★コンソメキューブ
215,コンソメ,コンソメ
216,コンソメ,固形スープの素
217,コンソメ,顆粒コンソメスープの素
218,こんにゃく,こんにゃく
219,さつまいも,さつまいも
220,さつまいも,サツマイモ
221,さつまいも,さつま芋
222,さとう,＠砂糖
223,さとう,◆　砂糖
224,さとう,◎砂糖
225,さとう,●砂糖
226,さとう,・砂糖
227,さとう,☆砂糖
228,さとう,★さとう
229,さとう,★砂糖
230,さとう,Ａ　砂糖
231,さとう,A)砂糖
232,さとう,B.砂糖
233,さとう,砂糖
234,さば,さば（生）
235,さば,さば３尾
236,さば,鯖
237,さばの水煮缶,サバの水煮缶
238,さば缶,サバ缶
239,さやいんげん,さやいんげん
240,さやえんどう,絹さや
241,サラダ油,②サラダ油
242,サラダ油,キャノーラ油
243,サラダ油,グレープシードオイル又はサラダ油
244,サラダ油,サラダオイル
245,サラダ油,サラダ油
246,サラダ油,サラダ油（焼き用）
247,サラダ油,焼く用の油
248,サラダ油,米油（サラダ油）
249,サラダ油,油
250,サラダ油,油（炊飯器の内側に塗る）
251,サラダ油,揚げ油
252,サラダ油,炒め用油
253,山椒,●山椒　※あれば花椒
254,しいたけ,しいたけ
255,しいたけ,シイタケ
256,しいたけ,しいたけ（中
257,しいたけ,椎茸
258,しいたけ,椎茸やしめじなど、お好みのきのこ
259,しいたけ,椎茸小ぶり5個
260,シーフードミックス,シーフードミックス
261,シーフードミックス,シーフードミックス（エビイカあさり）
262,しめじ,きのこ（シメジなど）
263,しめじ,しめじ
264,しめじ,しめじ（キノコ類ならなんでも）
265,しめじ,ブナシメジ
266,しめじ,ぶなしめじ
267,じゃがいも,△じゃがいも
268,じゃがいも,☆じゃがいも
269,じゃがいも,じゃがいも
270,じゃがいも,ジャガイモ
271,じゃがいも,じゃがいも（小さ目）
272,じゃがいも,じゃがいも（直径５センチぐらい）
273,じゃがいも,じゃが芋
274,じゃがいも,新じゃが(小)
275,じゃがいも,新じゃがいも
276,春菊,春菊
277,春菊,春菊（なくてもOK）
278,しょうが,●しょうが（薄切り）
279,しょうが,●生姜のみじん切り
280,しょうが,〇薄切りにした生姜
281,しょうが,A)生姜
282,しょうが,ショウガ
283,しょうが,しょうが
284,しょうが,寒い日は＋しょうが＜みじん切り＞
285,しょうが,生姜
286,しょうゆ,　●しょうゆ
287,しょうゆ,（あごだしがなければ：★濃口醤油）
288,しょうゆ,◆　醤油
289,しょうゆ,◎しょうゆ
290,しょうゆ,●しょうゆ
291,しょうゆ,◎醤油
292,しょうゆ,●醤油
293,しょうゆ,☆しょうゆ
294,しょうゆ,☆醤油
295,しょうゆ,★しょうゆ
296,しょうゆ,★醤油
297,しょうゆ,②醤油
298,しょうゆ,A  醤油
299,しょうゆ,Ａ　醤油
300,しょうゆ,A)醤油
301,しょうゆ,B醤油
302,しょうゆ,しょうゆ
303,しょうゆ,じょうゆ
304,しょうゆ,しょう油
305,しょうゆ,醤油
306,しょうゆ,濃い口醤油
307,しらたき,しらたき
308,白玉粉,白玉粉
309,すき焼きのたれ,エバラすき焼きのタレ
310,すき焼きのたれ,すき焼きのタレ
311,スナップエンドウ,スナップエンドウ
312,スライスチーズ,スライスチーズ
313,スライスチーズ,とろけるスライスチーズ
314,すりごま,□すりごま（仕上げ）
315,すりごま,★すりごま
316,すりごま,すりごま
317,すりごま,白すり胡麻
318,そうめん,そうめん
319,だし,だしパック
320,だし醤油,＊だし醤油
321,ダシダ,ダシダ
322,だし汁,＊だし汁
323,だし汁,●だし汁
324,だし汁,●だし汁（濃いめ）
325,だし汁,A　だし
326,だし汁,かつおだし
327,だし汁,だし汁
328,だし汁,だし汁（または　水+だしの素 小さじ2）
329,だし汁,だし汁（または水＋だしの素）
330,だし汁,鰹のだし汁
331,だし汁,出汁
332,チーズ,??とろけるチーズ
333,チーズ,チーズ
334,チーズ,とろけるチーズ
335,チーズ,ピザチーズｏｒ粉チーズ
336,チーズ,ピザ用チーズ
337,チキンコンソメ,◎チキンコンソメ
338,ちくわ,ちくわ
339,ちくわ,ちくわ（4～5本入り小サイズ）
340,ちくわ,焼きちくわ
341,ちくわ,竹輪
342,チャーシュー,チャーシュー
343,中濃ソース,中濃ソース
344,中力粉,中力粉
345,チンゲン菜,チンゲンサイ
346,チンゲン菜,チンゲン菜
347,ツナ缶,ツナ缶詰（シーチキン缶詰）
348,デミグラスソースのルー,デミグラスソースのルゥ
349,甜麺醤,◎甜麺醤
350,豆板醤,◆　豆板醤
351,豆板醤,◎豆板醤
352,豆板醤,●豆板醤
353,豆腐,★　とうふ
354,豆腐,★豆腐
355,豆腐,絹ごし豆腐
356,豆腐,絹ごし豆腐（小）
357,豆腐,絹ごし豆腐（木綿でも可）
358,豆腐,絹豆腐
359,豆腐,豆腐
360,豆腐,豆腐(ソフト木綿・鍋用)・焼き豆腐等
361,豆腐,豆腐（絹）
362,豆腐,木綿豆腐
363,トック,お餅・トック（韓国産）
364,トック,トック
365,トック,トック(なければ薄く切った日本のお餅)
366,トック,トック（餅）
367,トマト,トマト
368,トマト缶,☆ホールトマト缶
369,トマト缶,★トマト缶
370,トマト缶,カットトマト缶詰
371,トマト缶,トマト缶
372,ドライバジル,乾燥バジルor乾燥パセリ（あれば彩りで）
373,ドライパセリ,ドライパセリ
374,ドライパセリ,パセリ
375,ドライパセリ,乾燥パセリ
376,鶏ひき肉,　鶏ひき肉
377,鶏ひき肉,鶏ひき肉
378,鶏ひき肉,鶏ももミンチ
379,鶏むね肉,鶏ムネ肉
380,鶏むね肉,鶏肉(ムネ、モモなど)
381,とんかつソース,とんかつソース
382,長いも,【A】長芋
383,長いも,☆山芋
384,長いも,★山芋
385,長いも,A.長芋
386,長いも,やまいもすりおろし
387,長いも,山芋
388,長いも,長いも（すりおろし）
389,長いも,長芋
390,なす,なす
391,なす,茄子(ピーマン、パプリカなどでも可)
392,納豆,納豆
393,ナツメグ,ナツメグ
394,なめこ,なめこ
395,ニラ,★　にら
396,ニラ,ニラ
397,ニラ,にら
398,ニラ,ニラ1/2
399,にんじん,△人参
400,にんじん,☆人参
401,にんじん,にんじん
402,にんじん,ニンジン
403,にんじん,人参
404,にんじん,人参1/2
405,にんにく,●にんにくのみじんぎり
406,にんにく,スライスガーリック
407,にんにく,ニンニク
408,にんにく,にんにく
409,ネギ,お好みの野菜（ねぎ）
410,ネギ,きざみ葱
411,ネギ,ねぎ
412,ネギ,ネギ
413,ネギ,ネギ（白ネギでも細ネギでも）
414,ネギ,刻みネギ
415,ネギ,残り野菜（ネギは必ず入れる）
416,ネギ,万能ネギ
417,バター,バター
418,バター,バター（サラダ油でも）
419,はちみつ,◆　はちみつ
420,パプリカ,パプリカ
421,ハム,▲ハム
422,春雨,春雨
423,パン粉,◎パン粉
424,パン粉,☆パン粉（あれば生パン粉）
425,パン粉,パン粉
426,ピーマン,ピーマン
427,ピーマン,ピーマン  2ミリ幅の輪切り
428,ピザソース,ピザソース
429,豚モモ,豚モモ薄切り
430,プチトマト,プチトマト
431,ぶり,ぶりの切り身
432,ブロッコリー,ブロッコリー
433,ベーキングパウダー,ＢＰ
434,ベーコン,ベーコン
435,ベーコン,ベーコン 約8ミリ幅にきる
436,ベーコン,ベーコン（ロング）
437,ベーコン,ロングベーコン
438,紅ショウガ,■紅生姜
439,紅ショウガ,★紅生姜（みじん切り）
440,紅ショウガ,※紅生姜
441,紅ショウガ,紅しょうが
442,紅ショウガ,紅ショウガ
443,紅ショウガ,紅生姜
444,紅ショウガ,刻み紅ショウガ
445,ほうれん草,ほうれん草
446,ほうれん草,ほうれん草(1束)
447,ほたて,帆立の稚貝
448,ホワイトソース（缶）,ホワイトソース缶づめ
449,ポン酢,☆ポン酢
450,ポン酢,A みなさまのお墨付き 味付けポン酢
451,ポン酢,ポン酢
452,まいたけ,舞茸
453,マヨネーズ,○マヨネーズ
454,マヨネーズ,◎マヨネーズ
455,マヨネーズ,☆マヨネーズ
456,マヨネーズ,☆マヨネーズ(お好みで)
457,マヨネーズ,★マヨネーズ
458,マヨネーズ,※マヨネーズ
459,マヨネーズ,マヨネーズ
460,マヨネーズ,マヨネーズ（お好みで）
461,マヨネーズ,マヨネーズ(お好みで)
462,ミートソース,①ミートソース　（レトルト）
463,水,お湯
464,水菜,菊菜（水菜でもOK）
465,水菜,水菜
466,味噌,●味噌
467,味噌,☆味噌
468,味噌,★みそ
469,味噌,★味噌
470,味噌,〇味噌
471,味噌,みそ
472,味噌,減塩味噌
473,味噌,合わせ味噌
474,味噌,仕上げの味噌
475,味噌,出汁入り味噌
476,味噌,味噌（信州味噌
477,ミックスベジタブル,ミックスベジタブル
478,ミックスベジタブル,冷凍ミックスベジタブル
479,みょうが,みょうが
480,みょうが,みょうが（せん切り）
481,みりん,（あごだしがなければ：★みりん）
482,みりん,＊みりん
483,みりん,◆　みりん
484,みりん,◎タカラ本みりん
485,みりん,◎みりん
486,みりん,●みりん
487,みりん,・みりん
488,みりん,☆みりん
489,みりん,★みりん
490,みりん,Ａ　みりん
491,みりん,A　みりん
492,みりん,A)みりん
493,みりん,B白みりん
494,みりん,みりん
495,めんつゆ,●めんつゆ
496,めんつゆ,★めんつゆ
497,めんつゆ,A.麺つゆ
498,めんつゆ,めんつゆ
499,めんつゆ,めんつゆ　（　おでん用に希釈したもの　）
500,めんつゆ,ヤマキめんつゆ
501,めんつゆ,麺つゆ
502,めんつゆ（濃縮）,○めんつゆ（３倍濃縮）
503,めんつゆ（濃縮）,◎ヤマサ昆布つゆ３倍濃縮
504,めんつゆ（濃縮）,B.めんつゆ（3倍濃縮）
505,めんつゆ（濃縮）,めんつゆ(3倍濃縮)
506,めんつゆ（濃縮）,めんつゆ（3倍濃縮）
507,メンマ,めんま
508,もやし,★　もやし
509,もやし,②もやし
510,もやし,もやし
511,もやし,モヤシ
512,もやし,もやし（またはニラ）
513,焼き豆腐,焼き豆腐
514,焼き豆腐,焼き豆腐(無くても大丈夫です)
515,ゆず,柚子
516,レタス,レタス
517,レモン汁,レモン汁
518,れんこん,れんこん
519,れんこん,レンコン
520,塩,◎塩
521,塩,●塩
522,塩,☆塩
523,塩,★しお
524,塩,★塩
525,塩,※塩
526,塩,A.塩
527,塩,塩
528,塩こうじ,●塩麹（豚バラ下味用）
529,塩こうじ,塩麹
530,塩コショウ,○塩・胡椒（豚肉用）
