id,name,base_unit
1,あさり,g
2,アスパラ,g
3,いか,g
4,いか姿フライ,g
5,いりこ,g
6,いんげん,g
7,ウインナー,g
8,ウェイパー,g
9,ウスターソース,ml
10,うずらの卵,g
11,うどん,g
12,えのき茸,g
13,エリンギ,g
14,えんどう,g
15,オイスターソース,g
16,オートミール,g
17,おかか,g
18,おからパウダー,g
19,おくら,g
20,オリーブオイル,g
21,おろししょうが,g
22,おろしにんにく,g
23,お好みソース,g
24,お好み焼き粉,g
25,かき醤油,ml
26,かつおぶし,g
27,かにかま,g
28,かぼちゃ,g
29,かまぼこ,g
30,カレールー,g
31,カレー粉,g
32,きくらげ,g
33,きなこ,g
34,きび砂糖,g
35,キムチ,g
36,キャベツ,g
37,きゅうり,g
38,グリンピース,g
39,ケチャップ,g
40,コーン,g
41,こしょう,g
42,コチュジャン,g
43,ごはん,g
44,ごぼう,g
45,ごま,g
46,ごま油,g
47,コンソメ,g
48,こんにゃく,g
49,さつまいも,g
50,さとう,g
51,さば,g
52,さばの水煮缶,g
53,さば缶,g
54,さやいんげん,g
55,さやえんどう,g
56,サラダ油,g
57,しいたけ,g
58,シーフードミックス,g
59,しめじ,g
60,じゃがいも,g
61,しょうが,g
62,しょうゆ,ml
63,しらたき,g
64,すき焼きのたれ,ml
65,スナップエンドウ,g
66,スライスチーズ,g
67,すりごま,g
68,そうめん,g
69,だし,g
70,ダシダ,g
71,だし汁,ml
72,だし醤油,ml
73,チーズ,g
74,チキンコンソメ,g
75,ちくわ,g
76,チャーシュー,g
77,チンゲン菜,g
78,ツナ缶,g
79,デミグラスソースのルー,g
80,トック,g
81,トマト,g
82,トマト缶,g
83,ドライバジル,g
84,ドライパセリ,g
85,とんかつソース,ml
86,なす,g
87,ナツメグ,g
88,なめこ,g
89,ニラ,g
90,にんじん,g
91,にんにく,g
92,ネギ,g
93,バター,g
94,はちみつ,g
95,パプリカ,g
96,ハム,g
97,パン粉,g
98,ピーマン,g
99,ピザソース,g
100,プチトマト,g
101,ぶり,g
102,ブロッコリー,g
103,ベーキングパウダー,g
104,ベーコン,g
105,ほうれん草,g
106,ほたて,g
107,ホワイトソース（缶）,g
108,ポン酢,g
109,まいたけ,g
110,マヨネーズ,g
111,ミートソース,g
112,ミックスベジタブル,g
113,みょうが,g
114,みりん,ml
115,めんつゆ,ml
116,めんつゆ（濃縮）,ml
117,メンマ,g
118,もやし,g
119,ゆず,g
120,レタス,g
121,レモン汁,ml
122,れんこん,g
123,塩,g
124,塩こうじ,g
125,塩コショウ,g
126,塩昆布,g
127,牡蠣,g
128,乾燥わかめ,g
129,干し貝柱スープの素,g
130,牛こま切れ,g
131,牛すじ,g
132,牛ひき肉,g
133,牛ホルモン,g
134,牛脂,g
135,牛肉,g
136,牛乳,ml
137,牛薄切り,g
138,魚肉ソーセージ,g
139,強力粉,g
140,玉ねぎ,g
141,鶏がらスープの素,g
142,鶏ささみ,g
143,鶏ひき肉,g
144,鶏むね肉,g
145,鶏もも肉,g
146,結びしらたき,g
147,厚揚げ,g
148,紅ショウガ,g
149,合い挽き肉,g
150,黒豆,g
151,昆布,g
152,昆布茶,g
153,菜の花,g
154,桜えび,g
155,山椒,g
156,糸こんにゃく,g
157,七味唐辛子,g
158,酒,ml
159,春雨,g
160,春巻きの皮,g
161,春菊,g
162,小ネギ,g
163,小松菜,g
164,小麦粉,g
165,焼きそばソース,g
166,焼きそば麺,g
167,焼き豆腐,g
168,焼肉のたれ,g
169,食パン,g
170,酢,ml
171,水,ml
172,水菜,g
173,青ネギ,g
174,青のり,g
175,赤ワイン,ml
176,赤味噌,g
177,切り餅,g
178,大根,g
179,大葉,g
180,中華スープの素,g
181,中華麺,g
182,中濃ソース,ml
183,中力粉,g
184,長いも,g
185,長ネギ,g
186,天かす,g
187,甜麺醤,g
188,唐辛子,g
189,豆乳,ml
190,豆板醤,g
191,豆腐,g
192,豚こま切れ,g
193,豚の切り落とし,g
194,豚バラ,g
195,豚ひき肉,g
196,豚モモ,g
197,豚ロース,g
198,豚肉,g
199,豚背ロース薄切り,g
200,日本酒,ml
201,濃厚ソース,g
202,納豆,g
203,白ごま,g
204,白だし,ml
205,白みそ,g
206,白玉粉,g
207,白菜,g
208,薄口しょうゆ,g
209,粉チーズ,g
210,米粉,g
211,米油,g
212,片栗粉,g
213,味噌,g
214,油揚げ,g
215,卵,g
216,里芋,g
217,和風だしの素,g
218,筍の水煮,g
219,餃子の皮,g
100000,未登録,g
